packing_seed,packing_role,condition_id,inlet_velocity_m_s,inlet_temperature_K,solid_heat_source_MW_m3,selection_role
202,development,u0p05_T300_q4p85,0.05,300.0,4.85,published_envelope_corner
202,development,u0p05_T300_q8p85,0.05,300.0,8.85,published_envelope_corner
202,development,u0p05_T900_q4p85,0.05,900.0,4.85,published_envelope_corner
202,development,u0p05_T900_q8p85,0.05,900.0,8.85,published_envelope_corner
202,development,u0p25_T300_q4p85,0.25,300.0,4.85,published_envelope_corner
202,development,u0p25_T300_q8p85,0.25,300.0,8.85,published_envelope_corner
202,development,u0p25_T900_q4p85,0.25,900.0,4.85,published_envelope_corner
202,development,u0p25_T900_q8p85,0.25,900.0,8.85,published_envelope_corner
202,development,u0p15_T700_q6p85,0.15,700.0,6.85,published_interior_reference
303,final_zero_shot,u0p05_T300_q4p85,0.05,300.0,4.85,published_envelope_corner
303,final_zero_shot,u0p05_T300_q8p85,0.05,300.0,8.85,published_envelope_corner
303,final_zero_shot,u0p05_T900_q4p85,0.05,900.0,4.85,published_envelope_corner
303,final_zero_shot,u0p05_T900_q8p85,0.05,900.0,8.85,published_envelope_corner
303,final_zero_shot,u0p25_T300_q4p85,0.25,300.0,4.85,published_envelope_corner
303,final_zero_shot,u0p25_T300_q8p85,0.25,300.0,8.85,published_envelope_corner
303,final_zero_shot,u0p25_T900_q4p85,0.25,900.0,4.85,published_envelope_corner
303,final_zero_shot,u0p25_T900_q8p85,0.25,900.0,8.85,published_envelope_corner
303,final_zero_shot,u0p15_T700_q6p85,0.15,700.0,6.85,published_interior_reference
