architecture,split,epochs,training_epochs,best_epoch,train_case_count,validation_case_count,test_state_normalized_rmse,test_fluid_temperature_normalized_rmse,test_solid_temperature_normalized_rmse,test_continuity_normalized_rmse,test_energy_balance_normalized_rmse,test_case_count,test_pressure_drop_mae_Pa,test_pressure_drop_p95_Pa,test_pressure_drop_max_Pa,test_outlet_temperature_mae_K,test_outlet_temperature_p95_K,test_outlet_temperature_max_K,test_solid_maximum_temperature_mae_K,test_solid_maximum_temperature_p95_K,test_solid_maximum_temperature_max_K,test_cooling_wall_heat_mae_W,test_cooling_wall_heat_p95_W,test_cooling_wall_heat_max_W,test_cooling_wall_heat_over_generated_mean_percent,test_cooling_wall_heat_over_generated_p95_percent,test_cooling_wall_heat_over_generated_max_percent,test_interphase_net_heat_mae_W,test_interphase_net_heat_p95_W,test_interphase_net_heat_max_W,test_interphase_net_heat_over_generated_mean_percent,test_interphase_net_heat_over_generated_p95_percent,test_interphase_net_heat_over_generated_max_percent,test_interphase_absolute_heat_mae_W,test_interphase_absolute_heat_p95_W,test_interphase_absolute_heat_max_W,test_local_mass_l1_over_two_inlet_mean,test_global_mass_imbalance_over_inlet_mean,test_local_energy_l1_over_two_generated_power_mean,test_global_energy_imbalance_over_generated_power_mean,training_wall_time_s,optimization_wall_time_s,optimization_s_per_update,validation_wall_time_s,final_evaluation_wall_time_s,model_parameter_count,effective_batch_size,microbatch_size,gradient_accumulation,peak_gpu_memory_GB,total_parameter_updates,training_seed,device,torch_threads,test_inference_s_per_case
response_surface,interleaved_all_ranges,100,0,0,36,12,0.024037767397408098,0.0166291983931027,0.01627858030019665,8.856736114753498e-10,1.06464252077239e-07,12,0.36735216309049673,0.7032502781818037,0.7813853936240776,1.5882473614901091,3.239945969748277,3.403510688634242,0.4211025860215045,1.9211837913641414,3.2181679206778426,0.0016019449726400261,0.003621280057567365,0.003982141421417645,0.7190509479079147,1.7873151849316677,2.30545604665188,0.010947220172102179,0.02385669118096347,0.027768578330024996,4.916875231117581,11.834695478030277,16.07658544559967,0.02114681428416319,0.04358136179575233,0.048287852430843436,1.212518214947527e-08,4.378118684406435e-09,4.370703627194929e-05,8.741407254389858e-05,11.325475692749023,,,,,4164870,,,,,,,,,0.000825093088982006
pinn_data_only,interleaved_all_ranges,100,100,85,36,12,0.39375532535894314,0.22653867471935854,0.1849190422811907,0.1415255424457617,0.1957195248555076,12,4.88020778862968,10.668658055294504,14.758267121389508,14.661876340691956,26.291837642359262,26.798895051199565,32.23289736356971,73.36780438236518,97.94833928437504,0.03363259196916109,0.07304847305836001,0.0923923315959837,14.854707467708828,30.47109163093217,31.885357733569748,0.40113971587794933,0.9733436740327346,0.989844543337222,185.8273782121469,473.22737139092794,555.6999433731664,1.3239347488772901,2.8117045094153013,2.8589177916972255,3.498670850650725,0.1272862207532607,17.159402188059858,1.7216960422076408,63.69009629602078,53.49112804303877,0.01485864667862188,8.198688507312909,8.043998347013257,36759,1,1,False,0.508732928,3600,20260717,cuda,4,0.005486680417864894
pinn,interleaved_all_ranges,100,100,98,36,12,0.37313356525268054,0.21965802327067194,0.16749510098008272,0.10210498887380076,0.16737874062012342,12,3.397129710909212,6.899085117755019,8.629074158365256,13.474853129353932,34.563986913006026,34.6574119202146,30.49060305204627,80.78094917140669,129.1324823507813,0.04384704828229119,0.07640565860089649,0.08759461340081998,19.18624170088247,30.493834230774176,30.652212269924455,1.007180757064271,1.5504569584376384,1.7089545350535778,437.52188826515777,755.6456195540627,818.2134906875272,1.7831365380384516,3.7864154976585733,4.192686924447434,3.7973292663711007,0.2013092830537299,13.261668758713421,2.286134638704034,60.87956066301558,51.666099398746155,0.014351694277429487,7.4874109867960215,7.886367463041097,36759,1,1,False,0.507783168,3600,20260717,cuda,4,0.0054482013316980256
graph,interleaved_all_ranges,100,100,100,36,12,0.2943936000646046,0.06765907736588035,0.07267862191276997,0.08015633993873222,0.08296128393763195,12,1.2301001028899918,3.2510572647937797,4.066396165493643,3.075514344006109,6.046910922493157,6.201926829697413,14.388421981885907,37.346754872382625,40.52354748810717,0.07776778283025994,0.19813462199707157,0.22924827951364957,34.62731949188624,98.65595140356112,132.72301916417865,0.4772810770048639,0.8510482875664916,0.9706767177138806,198.01995636308297,349.74117196710256,397.8926780554269,0.5148250822943466,1.095202696104184,1.126935949307182,3.9211088091439374,0.3540671504449026,15.267845425538093,1.302523555930139,1239.486529158079,1073.0507276960416,0.5961392931644676,139.83355870482046,18.817176059936173,1445257,2,1,True,10.111941632,1800,20260717,cuda,4,0.11566266383548889
transolver,interleaved_all_ranges,100,100,100,36,12,0.3069347820028917,0.06071312254295177,0.06637635789431334,0.08190337820238744,0.09571035655894197,12,0.9420533096442038,2.278409048038883,3.2367971968487836,3.1983308287421814,7.647546585489396,8.217527002918587,5.254168574073408,9.113628872070327,11.031858279687526,0.09230627929351104,0.13116684456351235,0.1313920508435795,39.28755279700868,61.99610052467604,72.1462654322766,0.4599432647685579,0.9917059239181483,1.3288951405020266,207.67400093159054,502.0576490679865,769.3622633688419,0.5588002311317866,1.2478969104520585,1.5346083959978332,3.020905071978244,0.22167493541911218,13.145305716484481,1.6880160752308688,829.6239922289969,699.8058424907504,1.3996116849815008,85.99368805426639,13.644642357947305,2611409,8,1,True,4.352841216,500,20260717,cuda,4,0.07098114424540351
response_surface,temperature_extrapolation,100,0,0,30,15,0.29495195482382724,0.1435895666171311,0.14760175645979925,9.48846923976305e-10,1.914077805661468e-06,15,5.801738251795177,7.887854236067505,8.02556427467789,7.704235595207016,15.112488194076548,15.18298492553265,3.986050454204701,8.102901385128643,8.31215444563702,0.08714977249478315,0.10191265983435435,0.10199905189305275,37.92439758902462,55.90451620707232,58.91025174784062,0.3833358716003194,0.48999195992917133,0.49033220238586916,166.79261299384967,261.5943024635095,283.3175752324845,1.4588359189486513,1.6155493741178422,1.6220123539534566,4.3747489063335514e-08,1.1767190013482538e-08,3.360391015590175e-05,6.72078203118035e-05,10.965456247329712,,,,,1665948,,,,,,,,,0.0007591297306741277
pinn_data_only,temperature_extrapolation,100,100,25,30,15,1.3090397556850022,2.192011996385568,2.1650851920391996,0.09072418910362705,0.4042080841113425,15,11.004693535063415,19.362615838878263,19.698912791485782,112.83131834107708,118.24465202874407,120.54932097372648,244.8400116986087,246.00761219254122,246.2577933390471,0.23991171461177993,0.25305648937169223,0.2555570109952887,104.18041671952508,140.1409154331845,143.97001102210277,1.49809338964886,1.9591808825473689,2.062165547838282,661.0748211433463,1003.3743163113085,1193.888294848264,3.3620316587119072,3.5967301707535335,3.603617012667026,6.564775471250713,1.3230771682409492,48.92981236504922,1.3244407133507268,46.81311407091562,37.81652661715634,0.012605508872385447,7.847038899431936,5.616268723970279,36759,1,1,False,0.508732928,3000,20260717,cuda,4,0.004786101200928291
pinn,temperature_extrapolation,100,100,21,30,15,1.3470538329441795,2.2992319857395405,2.274045550782929,0.10735027475411578,0.12840052326006435,15,6.482617866784373,12.943695859098806,13.211716700374382,121.25884206858218,127.27739694977393,127.79856393652017,248.7876923626712,252.69234494960523,252.86242266839508,0.11512790083872741,0.22207996262356014,0.22940413909983726,50.24562249363584,102.6666665415133,132.81325388649978,2.7264821756457356,2.9052660884312305,2.9278357935595274,1189.252026411175,1682.0003515399906,1695.0670555197446,2.092602844891913,2.4576104308615165,2.497548054007213,7.339559467003724,1.6212045305653044,21.95658037166164,5.749528384326522,48.42958978796378,39.35412499145605,0.013118041663818683,7.925119647406973,5.6269615340279415,36759,1,1,False,0.507783168,3000,20260717,cuda,4,0.004758654938389857
graph,temperature_extrapolation,100,100,8,30,15,1.3340718489837793,2.25807693348037,2.2218860106732143,0.1446156740949967,0.12191388529049607,15,13.796041565954026,23.7886728112353,23.962945350824157,126.44234663982078,135.468575765022,138.3011262956212,262.33328155537953,265.9237321547572,267.3127249796721,0.47168832958771834,0.49357755685898425,0.497468262306579,205.18780052667114,279.21950759935385,284.7907749465408,1.9638845092357684,2.5906387113551332,2.7707253373814313,820.8090182510417,1051.392764941702,1172.9605637930458,3.4253434162162937,3.6322967809155586,3.6380664783819783,16.972116847977755,6.422973860710439,13.611047234809048,4.908369215178439,1094.5801438479684,896.867009139969,0.597911339426646,174.57932007859927,19.03463276301045,1445257,2,1,True,10.111941632,1500,20260717,cuda,4,0.11538540833474448
transolver,temperature_extrapolation,100,100,28,30,15,0.8537315781314708,1.322830468388346,1.3293384542601,0.1373550697476987,0.26193048174516964,15,14.274564518767875,25.18477135901194,25.313759105061763,38.22700337902825,45.865041708685396,46.15256083047791,169.00439971944203,178.14919980988574,179.49359012739308,0.9113005431806733,1.0203246622617368,1.0574693823409698,391.6608099889426,510.2312842190554,523.7376624487505,0.7998083020384276,1.2051418048987832,1.2616898042653433,370.5905412074615,697.7154166935004,730.453813769135,3.6697933256915283,3.849300349144867,3.85966111017128,35.53008354994142,56.683220245897886,54.13050567717065,76.74645910286588,733.5563074240927,584.6087209004909,1.4615218022512273,107.47849067789502,13.597996747936122,2611409,8,1,True,4.352841216,400,20260717,cuda,4,0.0710073324618861
